"Bill Number","Bill Title","Bill Sponsor","Date Passed","Effective Date","Governor's Action","Gov's Action Date","Laws of Utah Chapter"
"HB0347S04","Social Services Program Amendments ","Dunnigan, J.","03/06/2025","05/07/2025","GSIGN","03/24/2025","135"
"HB0350","District Energy Amendments ","Peterson, V.","03/07/2025","05/07/2025","GSIGN","03/25/2025","251"
"HB0352","Geologic Carbon Storage Amendments ","Watkins, C.","03/07/2025","05/07/2025","GSIGN","03/24/2025","139"
"HB0353S04","Criminal Code Amendments ","Wilcox, R.","03/07/2025","05/07/2025","GNOSIGN","03/27/2025","510"
"HB0354S02","Criminal Justice Revisions ","Wilcox, R.","03/05/2025","05/07/2025","GSIGN","03/25/2025","252"
"HB0355S04","Mining and Critical Infrastructure Materials Amendments ","Snider, C.","03/07/2025","05/07/2025","GSIGN","03/26/2025","387"
"HB0356S03","County Governance Amendments ","Teuscher, J.","03/07/2025","05/07/2025","GSIGN","03/27/2025","535"
"HB0357S01","Medical Cannabis Modifications ","Ward, R.","03/07/2025","07/01/2025","GSIGN","03/26/2025","392"
"HB0358S01","Criminal Sexual Conduct Amendments ","Mauga, V.","03/05/2025","05/07/2025","GSIGN","03/25/2025","253"
"HB0360S02","Housing Attainability Amendments ","Whyte, S.","03/07/2025","07/01/2025","GSIGN","03/26/2025","391"
"HB0361S03","Drug Overdose Training Amendments ","Thompson, J.","03/07/2025","05/07/2025","GSIGN","03/26/2025","395"
"HB0363S03","Maternal and Infant Amendments ","Pierucci, C.","03/07/2025","05/07/2025","GSIGN","03/26/2025","397"
"HB0365S01","Mental Health Care Study Amendments ","Barlow, S.","03/05/2025","05/07/2025","GSIGN","03/26/2025","398"
"HB0366S02","Access to Communication Device Location Information Amendments ","Maloy, A. Cory","03/07/2025","05/07/2025","GSIGN","03/25/2025","254"
"HB0368S03","Local Land Use Amendments ","Whyte, S.","03/07/2025","05/07/2025","GSIGN","03/26/2025","399"
"HB0372S03","Dental Practice Amendments ","Defay, A.","03/06/2025","05/07/2025","GSIGN","03/25/2025","255"
"HB0373","Service Marketplace Platforms Amendments ","Thompson, J.","03/07/2025","05/07/2025","GSIGN","03/25/2025","256"
"HB0376S01","National Guard Amendments ","Burton, J.","03/07/2025","05/07/2025","GSIGN","03/25/2025","257"
"HB0378S03","Department of Natural Resources Funding Amendments ","Snider, C.","03/07/2025","01/01/2026","GSIGN","03/25/2025","258"
"HB0379S01","Population Data Amendments ","Gricius, S.","03/06/2025","05/07/2025","GSIGN","03/26/2025","400"
"HB0380","Presumption of State Jurisdiction Amendments ","Ivory, K.","03/07/2025","05/07/2025","GSIGN","03/26/2025","401"
"HB0381S01","Civics Education Amendments ","Welton, D.","03/07/2025","07/01/2025","GSIGN","03/24/2025","142"
"HB0383","Court Fine Amendments ","Miller, G.","03/07/2025","05/07/2025","GSIGN","03/25/2025","259"
"HB0388S01","Antiquities Protection Amendments ","Barlow, S.","03/07/2025","05/07/2025","GSIGN","03/27/2025","536"
"HB0390","Religious Expression in Higher Education ","Lisonbee, K.","03/07/2025","05/07/2025","GSIGN","03/26/2025","402"
"HB0391S03","Emergency Medical Services Revisions ","Nguyen, H.","03/07/2025","05/07/2025","GSIGN","03/25/2025","260"
"HB0394S01","Statutory Intent Amendments ","Teuscher, J.","03/07/2025","05/07/2025","GSIGN","03/25/2025","261"
"HB0396","Small School District Scale of Operations Formula ","Peterson, K.","03/04/2025","07/01/2025","GSIGN","03/24/2025","145"
"HB0402S03","Foods Additives in Schools ","Chevrier, K.","03/06/2025","05/07/2025","GSIGN","03/27/2025","466"
"HB0403S03","SNAP Funds Amendments ","Chevrier, K.","03/05/2025","05/07/2025","GSIGN","03/27/2025","467"
"HB0404S01","Government Employment Amendments ","Gricius, S.","03/07/2025","05/07/2025","GSIGN","03/26/2025","403"
"HB0405S02","Human Trafficking Amendments ","Pierucci, C.","03/05/2025","05/07/2025","GSIGN","03/25/2025","262"
"HB0410S01","Child Care Amendments ","Miller, T.","03/06/2025","05/07/2025","GSIGN","03/26/2025","404"
"HB0411S02","Public Asset Ownership Amendments ","Shelley, T.","03/05/2025","05/07/2025","GSIGN","03/24/2025","146"
"HB0412S03","Boards and Commissions Revisions ","Burton, J.","03/07/2025","05/07/2025","GSIGN","03/19/2025","057"
"HB0414S01","Raw Milk Amendments ","Acton, C.K.","03/06/2025","05/07/2025","GSIGN","03/19/2025","058"
"HB0418S01","Data Sharing Amendments ","Fiefia, D.","03/05/2025","07/01/2026","GSIGN","03/27/2025","468"
"HB0419S01","Real Estate Revisions ","Walter, N.","03/07/2025","05/07/2025","GSIGN","03/25/2025","263"
"HB0420S01","Halogen Emissions Amendments ","Stoddard, A.","03/05/2025","05/07/2025","GSIGN","03/25/2025","264"
"HB0421","Grazing Amendments ","Monson, L.","03/06/2025","05/07/2025","GSIGN","03/24/2025","147"
"HB0422S02","Municipality Regulation of Open House Amendments ","Walter, N.","03/03/2025","03/26/2025","GSIGN","03/26/2025","406"
"HB0424","School Activity Eligibility Commission Amendments ","Abbott, N.","03/07/2025","05/07/2025","GSIGN","03/26/2025","408"
"HB0425S02","Department of Public Safety Fee Amendments ","Dunnigan, J.","03/07/2025","05/07/2025","GSIGN","03/25/2025","265"
"HB0428S01","Property Tax Changes ","Koford, J.","03/07/2025","05/07/2025","GSIGN","03/26/2025","410"
"HB0430S01","Security and Land Restriction Amendments ","Pierucci, C.","03/07/2025","05/07/2025","GSIGN","03/25/2025","266"
"HB0434S02","Health and Human Services Amendments ","Acton, C.K.","03/07/2025","05/07/2025","GSIGN","03/27/2025","470"
"HB0435S01","Building Code Amendments ","Kohler, M.","03/07/2025","05/07/2025","GSIGN","03/27/2025","469"
"HB0436","Impaired Driving Amendments ","Eliason, S.","03/05/2025","05/07/2025","GSIGN","03/25/2025","267"
"HB0437S03","Interdicted Person Amendments ","Eliason, S.","03/07/2025","01/01/2026","GSIGN","03/27/2025","471"
"HB0438S01","Environmental Legal Action Amendments ","Jack, C.","03/07/2025","05/07/2025","GSIGN","03/24/2025","149"
"HB0439S01","Outdoor Recreation Revisions ","Chew, S.","03/07/2025","03/24/2025","GSIGN","03/24/2025","150"
"HB0441S02","Franchisee Protection Act ","Ivory, K.","03/07/2025","03/17/2025","GSIGN","03/17/2025","032"
"HB0442S04","Construction Trades Licensing Amendments ","Peterson, T.","03/07/2025","05/07/2025","GSIGN","03/25/2025","268"
"HB0444S04","Data Privacy Amendments ","Moss, J.","03/06/2025","03/27/2025","GSIGN","03/27/2025","475"
"HB0446","Great Salt Lake Amendments ","Koford, J.","03/07/2025","05/07/2025","GSIGN","03/24/2025","151"
"HB0447S03","Statewide Catalyst Campus Model ","Schultz, M.","03/06/2025","05/07/2025","GSIGN","03/27/2025","478"
"HB0452S02","Artificial Intelligence Amendments ","Moss, J.","03/05/2025","05/07/2025","GSIGN","03/25/2025","269"
"HB0455S02","Utah Fits All Scholarship Program Amendments ","Pierucci, C.","03/03/2025","03/06/2025","GSIGN","03/06/2025","025"
"HB0456S08","Transient Room Tax Amendments ","Bolinder, B.","03/06/2025","07/01/2025","GSIGN","03/25/2025","270"
"HB0459S01","Appropriations Subcommittee Amendments ","Peterson, V.","02/27/2025","05/07/2025","GSIGN","03/25/2025","271"
"HB0462S01","Rural School Funding Amendments ","Auxier, T.","03/05/2025","07/01/2025","GSIGN","03/26/2025","413"
"HB0463S02","Child Support Modifications ","Ward, R.","03/07/2025","05/07/2025","GSIGN","03/27/2025","479"
"HB0464S01","State Sovereignty Fund ","Elison, J.","03/07/2025","05/07/2025","GSIGN","03/25/2025","272"
"HB0465S04","Public Safety Amendments ","Snider, C.","03/07/2025","05/07/2025","GSIGN","03/25/2025","273"
"HB0471S01","Transportation Procurement Amendments ","Roberts, C.","03/07/2025","05/07/2025","GSIGN","03/27/2025","481"
"HB0474S02","Regulatory Oversight Amendments ","Wilcox, R.","03/07/2025","05/07/2025","GSIGN","03/27/2025","483"
"HB0475S01","Public Funds Reporting Amendments ","Walter, N.","03/05/2025","05/07/2025","GSIGN","03/25/2025","274"
"HB0477","School Trespass Amendments ","MacPherson, M.","03/07/2025","05/07/2025","GSIGN","03/27/2025","485"
"HB0478S01","Brine Mining Amendments ","Bolinder, B.","03/07/2025","05/07/2025","GSIGN","03/24/2025","152"
"HB0479S01","Student Athlete Revisions ","Hayes, S.","03/07/2025","05/07/2025","GSIGN","03/27/2025","488"
"HB0480","Landlord Communication Amendments ","Shallenberger, D.","03/07/2025","05/07/2025","GSIGN","03/25/2025","275"
"HB0481","Ballot Proposition Requirements ","Loubet, A.","03/07/2025","11/03/2026","GSIGN","03/27/2025","492"
"HB0482S01","Health and Human Services Reporting Requirements ","Monson, L.","03/07/2025","05/07/2025","GSIGN","03/27/2025","494"
"HB0483S05","School and Institutional Trust Lands Administration Modifications ","Walter, N.","03/07/2025","07/01/2025","GSIGN","03/27/2025","496"
"HB0488S02","Federalism Amendments ","Ivory, K.","03/06/2025","05/07/2025","GSIGN","03/27/2025","497"
"HB0490S02","State Parks Modifications ","Okerlund, C.","03/06/2025","05/07/2025","GSIGN","03/24/2025","153"
"HB0491S03","Behavioral Health Modifications ","Eliason, S.","03/06/2025","05/07/2025","GSIGN","03/27/2025","499"
"HB0493S01","Medical Examiner Amendments ","Ward, R.","03/06/2025","01/01/2026","GSIGN","03/27/2025","500"
"HB0495","Health Care Amendments ","Dunnigan, J.","03/07/2025","05/07/2025","GSIGN","03/25/2025","276"
"HB0496S01","Revisor's Technical Corrections to Utah Code ","Moss, J.","02/28/2025","05/07/2025","GSIGN","03/25/2025","277"
"HB0497S04","Public Education Compliance ","Hall, K.","03/07/2025","05/07/2025","GSIGN","03/27/2025","501"
"HB0501S01","Law Enforcement Salary Amendments ","Wilcox, R.","03/05/2025","05/07/2025","GSIGN","03/24/2025","154"
"HB0502S06","Transportation and Infrastructure Funding Amendments ","Teuscher, J.","03/07/2025","05/07/2025","GSIGN","03/27/2025","502"
"HB0503S03","Medical Malpractice Modifications ","Hall, K.","03/05/2025","05/07/2025","GSIGN","03/27/2025","503"
"HB0504S02","Financial and Conflict of Interest Disclosures by Candidates Amendments ","Shepherd, L.","03/07/2025","05/07/2025","GSIGN","03/24/2025","090"
"HB0505S03","Homeless Services Revisions ","Eliason, S.","03/07/2025","05/07/2025","GSIGN","03/27/2025","504"
"HB0508S01","School Data Amendments ","MacPherson, M.","03/07/2025","05/07/2025","GSIGN","03/27/2025","505"
"HB0510","Agricultural Amendments ","Dailey-Provost, J.","03/05/2025","05/07/2025","GSIGN","03/25/2025","278"
"HB0514S03","Vehicle Registration Changes ","Defay, A.","03/06/2025","01/01/2026","GSIGN","03/25/2025","279"
"HB0516S01","Automobile Franchise Amendments ","Eliason, S.","03/07/2025","05/07/2025","GSIGN","03/25/2025","280"
"HB0520S02","Water Entity Amendments ","Snider, C.","03/06/2025","07/01/2025","GSIGN","03/24/2025","093"
"HB0530S01","Utah Innovation Lab Modifications ","Peterson, K.","03/04/2025","05/07/2025","GSIGN","03/27/2025","506"
"HB0534S01","Adult Protective Services Amendments ","Loubet, A.","03/07/2025","05/07/2025","GSIGN","03/27/2025","507"
"HB0537","Utah Schools for the Deaf and the Blind Amendments ","Pierucci, C.","03/07/2025","07/01/2025","GSIGN","03/27/2025","509"
"HB0541","Olympic Legacy Liability Amendments ","Hawkins, J.","03/07/2025","05/07/2025","GSIGN","03/27/2025","511"
"HB0542S09","Economic Development Amendments ","Hawkins, J.","03/07/2025","07/01/2025","GSIGN","03/27/2025","512"
"HB0545","School District Governance Agreements ","Peterson, K.","03/07/2025","05/07/2025","GSIGN","03/27/2025","520"
"HB0547S03","Diaper Program Amendments ","Dominguez, R.","03/05/2025","05/07/2025","GSIGN","03/24/2025","095"
"HB0550S01","Building Permit Fee Prohibition Amendments ","Peterson, T.","03/07/2025","05/07/2025","GSIGN","03/19/2025","062"
"HB0551S01","Elected Official Publicity Amendments ","Kyle, J.","03/07/2025","05/07/2025","GSIGN","03/24/2025","096"
"HB0562S05","Law Enforcement and Criminal Justice Amendments ","Lisonbee, K.","03/07/2025","05/07/2025","GSIGN","03/27/2025","526"
"HCR001","Concurrent Resolution Regarding the Grand County Water Conservancy District ","Albrecht, C.","02/05/2025","02/14/2025","GSIGN","02/14/2025",""
"HCR002","Concurrent Resolution Directing PEHP Regarding Pharmaceutical Rebates ","Thurston, N.","02/12/2025","02/27/2025","GSIGN","02/27/2025",""
"HCR005","House Concurrent Resolution on Permitting Reform ","Ballard, M.G.","02/21/2025","03/03/2025","GSIGN","03/03/2025",""
"HCR006","Concurrent Resolution Urging Changes to Federal Homelessness Regulations ","Clancy, T.","02/20/2025","02/27/2025","GSIGN","02/27/2025",""
"HCR007","Concurrent Resolution Recognizing Patriots' Day ","Brooks, W.","03/05/2025","03/19/2025","GSIGN","03/19/2025",""
"HCR009","House Concurrent Resolution to Create Energy Compact with Idaho and Wyoming ","Moss, J.","03/07/2025","03/19/2025","GSIGN","03/19/2025",""
"HCR014","House Concurrent Resolution Supporting Streamlining Utah Housing Policies ","Whyte, S.","03/07/2025","03/19/2025","GSIGN","03/19/2025",""
"HJR003","Joint Resolution Regarding State Prisoner Placement in Iron County Correctional Facility ","Albrecht, C.","03/06/2025","03/06/2025","","",""
"HJR004","Joint Rules Resolution - Amendments to Joint Rules ","Dunnigan, J.","02/05/2025","02/05/2025","","",""
"HJR006S02","Joint Rules Resolution - Legislative Process Amendments ","Dunnigan, J.","03/07/2025","03/07/2025","","",""
"HJR009S01","Joint Resolution Regarding Utah's Share of Colorado River Water ","Snider, C.","03/07/2025","03/07/2025","","",""
"HJR010","Proposal to Amend Utah Constitution - Publication Amendments ","Loubet, A.","03/07/2025","05/07/2025","","",""
"HR0001S01","House Rules Resolution - Amendments to House Rules ","Dunnigan, J.","01/21/2025","01/21/2025","","",""
"HR0003","House Rules Resolution - Legislative Process Amendments ","Dunnigan, J.","02/14/2025","02/14/2025","","",""
"HR0004","Resolution Regarding Dr. Martha Hughes Cannon Commemorative Stamp ","Dominguez, R.","02/21/2025","02/21/2025","","",""
"HR0005","House Rules Resolution - House Procedures Amendments ","Dunnigan, J.","02/14/2025","02/14/2025","","",""
"SB0001","Public Education Base Budget Amendments ","Balderree, H.","01/30/2025","07/01/2025","GSIGN","02/14/2025","006"
"SB0002","New Fiscal Year Supplemental Appropriations Act ","Stevenson, J.","03/05/2025","05/07/2025","GSIGN","03/25/2025","168"
"SB0003","Appropriations Adjustments ","Stevenson, J.","03/07/2025","03/27/2025","GOVLVETO","03/27/2025","539"
"SB0006","Criminal Justice Base Budget ","Brammer, B.","01/30/2025","07/01/2025","GSIGN","02/14/2025","007"
"SB0007","Social Services Base Budget ","Stratton, K.","01/30/2025","07/01/2025","GSIGN","02/14/2025","009"
"SB0008S01","State Agency Fees and Internal Service Fund Rate Authorization and Appropriations ","Sandall, S.","03/05/2025","07/01/2025","GSIGN","03/25/2025","169"
"SB0009","Revenue Bond and Capital Facilities Amendments ","Ipson, D.","03/05/2025","07/01/2025","GSIGN","03/26/2025","429"
"SB0012","Board of Tourism Development Amendments ","Plumb, J.","02/05/2025","05/07/2025","GSIGN","03/25/2025","281"
"SB0013","Property Tax Reimbursement Amendments ","Fillmore, L.","02/04/2025","01/01/2026","GSIGN","03/26/2025","432"
"SB0014","Private Sale of a Firearm Sunset Review Amendments ","Grover, K.","02/06/2025","05/07/2025","GSIGN","03/25/2025","282"
"SB0015S01","Certified Public Accountant Licensing Amendments ","Vickers, E.","03/06/2025","01/01/2026","GSIGN","03/25/2025","283"
"SB0016S01","Property Tax Notice Amendments ","Fillmore, L.","03/06/2025","05/07/2025","GSIGN","03/26/2025","437"
"SB0017S01","Services for Department of Defense Civilian Employees ","Millner, A.","01/31/2025","05/07/2025","GSIGN","03/26/2025","438"
"SB0018S01","Election Fundraising Amendments ","McCay, D.","02/04/2025","05/07/2025","GSIGN","03/24/2025","098"
"SB0019","Utah Retirement Systems Amendments for Military Personnel ","Balderree, H.","02/05/2025","07/01/2025","GSIGN","03/19/2025","064"
"SB0021","Long-Term Disability Amendments ","Harper, W.","02/13/2025","07/01/2025","GSIGN","03/19/2025","065"
"SB0022S01","State Employee Benefit Amendments ","Harper, W.","03/06/2025","03/19/2025","GSIGN","03/19/2025","066"
"SB0023S01","First Home Investment Zone Amendments ","Harper, W.","02/10/2025","05/07/2025","GSIGN","03/26/2025","440"
"SB0024S01","Child Abuse and Torture Amendments ","Ipson, D.","03/04/2025","05/07/2025","GSIGN","03/25/2025","284"
"SB0025","Postretirement Reemployment for Emergency Services Workers ","Harper, W.","02/12/2025","07/01/2025","GSIGN","03/19/2025","068"
"SB0026S06","Housing and Transit Reinvestment Zone Amendments ","Harper, W.","03/07/2025","03/12/2025","GSIGN","03/12/2025","029"
"SB0027S01","Motor Vehicle Division Amendments ","Harper, W.","02/27/2025","07/01/2025","GSIGN","03/25/2025","285"
"SB0028","Livestock Brand Board Amendments ","Sandall, S.","02/13/2025","05/07/2025","GSIGN","03/25/2025","286"
"SB0029S02","Charter School Amendments ","Fillmore, L.","02/20/2025","07/01/2025","GSIGN","03/25/2025","287"
"SB0030","Forest Fire Resources Compact Amendments ","Owens, D.R.","02/05/2025","05/07/2025","GSIGN","03/24/2025","101"
"SB0031S01","Refugee Services Amendments ","Winterton, R.","03/04/2025","05/07/2025","GSIGN","03/26/2025","441"
"SB0033","Water Rights Recording Amendments ","Vickers, E.","02/05/2025","05/07/2025","GSIGN","03/24/2025","103"
"SB0034","Mineral Surety Study ","Owens, D.R.","02/06/2025","05/07/2025","GSIGN","03/27/2025","531"
"SB0035","Statewide Online Education Program Modifications ","Johnson, J.","03/05/2025","07/01/2025","GSIGN","03/27/2025","534"
"SB0036S01","Water Quality Board Amendments ","Weiler, T.","02/19/2025","05/07/2025","GSIGN","03/24/2025","107"
"SB0037","Minimum Basic Tax Rate Amendments ","Fillmore, L.","02/20/2025","05/07/2025","GVETO","03/24/2025",""
"SB0038","Manufacturing Modernization Grant Sunset Amendments ","Millner, A.","03/05/2025","05/07/2025","GSIGN","03/25/2025","288"
"SB0039S01","Education Testing Amendments ","Johnson, J.","03/05/2025","05/07/2025","GSIGN","03/25/2025","289"
"SB0040S02","Sales and Use Tax Act Amendments ","McCay, D.","03/07/2025","05/07/2025","GSIGN","03/25/2025","290"
"SB0041S03","Sex, Kidnap, and Child Abuse Offender Registry Amendments ","Grover, K.","02/10/2025","05/07/2025","GSIGN","03/25/2025","291"
"SB0042","Consumer Protection Amendments ","Vickers, E.","02/05/2025","05/07/2025","GSIGN","03/26/2025","442"
"SB0043S01","Income Tax Credit Review Amendments ","McCay, D.","02/20/2025","05/07/2025","GSIGN","03/25/2025","292"
"SB0044S01","Professional Licensure Amendments ","Vickers, E.","02/20/2025","05/07/2025","GSIGN","03/26/2025","443"
"SB0045","Juvenile Court Procedures Amendments ","Weiler, T.","02/20/2025","05/07/2025","GSIGN","03/26/2025","365"
"SB0046S01","Youth Electronic Cigarette, Marijuana, and Other Drug Prevention Program Sunset Extension ","Vickers, E.","02/07/2025","05/07/2025","GSIGN","03/26/2025","366"
"SB0047S01","Sales and Use Tax Remittance Amendments ","Harper, W.","03/06/2025","07/01/2025","GSIGN","03/25/2025","293"
"SB0048","Behavioral Health Amendments ","McKell, M.","02/20/2025","05/07/2025","GSIGN","03/26/2025","367"
"SB0049","Insurance Investment Amendments ","Ipson, D.","02/12/2025","05/07/2025","GSIGN","03/26/2025","368"
"SB0050","Limited Purpose Local Government Entities Board of Trustees Compensation Amendments ","Musselman, C.R.","02/19/2025","05/07/2025","GSIGN","03/19/2025","067"
"SB0051","State Resource Management Plan Amendments ","Stratton, K.","02/13/2025","05/07/2025","GSIGN","03/24/2025","115"
"SB0052S02","Vehicle Registration Modifications ","Brammer, B.","03/06/2025","03/25/2025","GSIGN","03/25/2025","294"
"SB0053","Election Code Amendments ","Musselman, C.R.","02/05/2025","05/07/2025","GSIGN","03/19/2025","038"
"SB0054S01","Appearance of Candidate Name on Ballot ","Pitcher, S.","02/19/2025","05/07/2025","GSIGN","03/19/2025","039"
"SB0055S02","Unauthorized Use of Real Property Amendments ","Balderree, H.","02/19/2025","05/07/2025","GSIGN","03/25/2025","295"
"SB0059","Commercial Driver License Revisions ","Ipson, D.","02/06/2025","05/07/2025","GSIGN","03/25/2025","296"
"SB0061S03","Energy Corridor Amendments ","Owens, D.R.","02/28/2025","05/07/2025","GSIGN","03/25/2025","297"
"SB0062S04","Spaceport Exploration Committee ","Stevenson, J.","03/07/2025","05/07/2025","GSIGN","03/27/2025","540"
"SB0064S04","Medical Cannabis Amendments ","Vickers, E.","02/28/2025","05/07/2025","GSIGN","03/26/2025","414"
"SB0065S02","Medication Assisted Treatment Amendments ","Plumb, J.","03/05/2025","05/07/2025","GSIGN","03/26/2025","417"
"SB0066","School Personnel Amendments ","Fillmore, L.","02/19/2025","05/07/2025","GSIGN","03/25/2025","298"
"SB0068","Child Welfare Worker Protections ","Vickers, E.","02/14/2025","05/07/2025","GSIGN","03/27/2025","537"
"SB0069S06","Medication Amendments ","Vickers, E.","03/05/2025","05/07/2025","GNOSIGN","03/27/2025","514"
"SB0070","Consumer Reporting Amendments ","Pitcher, S.","02/28/2025","05/07/2025","GSIGN","03/26/2025","415"
"SB0071S02","Social Security Tax Revisions ","Harper, W.","03/05/2025","05/07/2025","GSIGN","03/26/2025","418"
"SB0073S03","Statewide Initiatives Amendments ","Fillmore, L.","03/06/2025","03/24/2025","GSIGN","03/24/2025","117"
"SB0074S03","Corrections Modifications ","Owens, D.R.","02/27/2025","05/07/2025","GSIGN","03/25/2025","299"
"SB0076","Marriage Amendments ","Plumb, J.","02/20/2025","05/07/2025","GSIGN","03/25/2025","300"
"SB0077S01","Public Safety Animal Amendments ","Plumb, J.","02/20/2025","05/07/2025","GSIGN","03/25/2025","301"
"SB0078S01","Homeless Individuals Protection Amendments ","Plumb, J.","03/06/2025","05/07/2025","GSIGN","03/26/2025","422"
"SB0079S01","Technical Code Amendments ","Kwan, K.","02/18/2025","05/07/2025","GSIGN","03/25/2025","302"
"SB0080S03","Water Fee Amendments ","Sandall, S.","03/04/2025","05/07/2025","GSIGN","03/24/2025","124"
"SB0082S01","Autopsy Photo Amendments ","Pitcher, S.","02/26/2025","05/07/2025","GSIGN","03/26/2025","421"
"SB0083","Law Enforcement Policy Requirements ","Weiler, T.","02/26/2025","01/01/2026","GSIGN","03/25/2025","303"
"SB0086S01","Workplace Protection Amendments ","Plumb, J.","03/07/2025","05/07/2025","GSIGN","03/26/2025","425"
"SB0087","DUI Sentencing Modifications ","Pitcher, S.","02/13/2025","05/07/2025","GSIGN","03/25/2025","304"
"SB0090S05","Mandatory Jail Sentence Amendments ","Musselman, C.R.","03/07/2025","05/07/2025","GSIGN","03/25/2025","305"
"SB0091S02","Restaurant Tax Revisions ","Fillmore, L.","03/07/2025","01/01/2026","GSIGN","03/25/2025","306"
"SB0095","Truth in Taxation Amendments ","Balderree, H.","02/19/2025","05/07/2025","GSIGN","03/25/2025","307"
"SB0096","Advanced Air Mobility Amendments ","Harper, W.","02/19/2025","05/07/2025","GSIGN","03/26/2025","423"
"SB0098","Parental Education on Student Use of Technology Amendments ","Wilson, C.","02/27/2025","05/07/2025","GSIGN","03/25/2025","308"
"SB0099S04","Excellence in Education and Leadership Supplement Amendments ","Fillmore, L.","03/05/2025","03/25/2025","GSIGN","03/25/2025","309"
"SB0100S01","Estate Planning Recodification ","Weiler, T.","02/21/2025","05/07/2025","GSIGN","03/25/2025","310"
"SB0101","Dog Related Liability Amendments ","Kwan, K.","02/19/2025","05/07/2025","GSIGN","03/25/2025","311"
"SB0102S07","Public Education Reporting Amendments ","Fillmore, L.","03/07/2025","05/07/2025","GSIGN","03/25/2025","312"
"SB0104S02","Boundary Line Amendments ","Musselman, C.R.","02/27/2025","05/07/2025","GSIGN","03/19/2025","040"
"SB0105","Student Privacy and Modesty in Public Education ","Plumb, J.","03/07/2025","07/01/2025","GSIGN","03/25/2025","313"
"SB0106S03","Utah-Ireland Trade Commission ","Harper, W.","03/05/2025","05/07/2025","GVETO","03/27/2025",""
"SB0110S01","Summons Modifications ","Pitcher, S.","02/26/2025","05/07/2025","GSIGN","03/25/2025","314"
"SB0113S02","Traffic Code Amendments ","Sandall, S.","02/26/2025","05/07/2025","GSIGN","03/24/2025","127"
"SB0115S01","Substance Use Disorder Revisions ","Plumb, J.","02/27/2025","05/07/2025","GSIGN","03/26/2025","428"
"SB0117","Uniform Family Law Arbitration Act ","McKell, M.","02/21/2025","05/07/2025","GSIGN","03/25/2025","315"
"SB0118","Political Party Procedures Amendments ","Brammer, B.","02/20/2025","05/07/2025","GSIGN","03/19/2025","042"
"SB0119S01","Domestic Relations Recodification ","Weiler, T.","02/28/2025","09/01/2025","GSIGN","03/26/2025","426"
"SB0120S01","Controlled Substances Modifications ","Plumb, J.","02/20/2025","05/07/2025","GSIGN","03/26/2025","430"
"SB0121S06","Property Loss Amendments ","Plumb, J.","03/07/2025","05/07/2025","GSIGN","03/19/2025","041"
"SB0123S01","Criminal Protective Order Amendments ","Pitcher, S.","02/26/2025","05/07/2025","GSIGN","03/25/2025","316"
"SB0128","Assisted Reproduction Amendments ","Pitcher, S.","03/07/2025","05/07/2025","GSIGN","03/19/2025","043"
"SB0129S03","Higher Education Development Areas ","Wilson, C.","03/06/2025","03/25/2025","GSIGN","03/25/2025","317"
"SB0132S05","Electric Utility Amendments ","Sandall, S.","03/07/2025","05/07/2025","GSIGN","03/25/2025","318"
"SB0133S02","Metal Purchase and Theft Amendments ","Weiler, T.","03/06/2025","07/01/2025","GSIGN","03/26/2025","434"
"SB0134S02","Health Care Decisions Act Amendments ","McKell, M.","02/27/2025","01/01/2026","GSIGN","03/26/2025","439"
"SB0137S04","Course Choice Empowerment ","Cullimore, K. A.","03/07/2025","05/07/2025","GSIGN","03/27/2025","541"
"SB0139S03","Mineral Rights Amendments ","Winterton, R.","02/27/2025","05/07/2025","GSIGN","03/26/2025","444"
"SB0140S03","Law Enforcement DNA Amendments ","Plumb, J.","03/06/2025","05/07/2025","GSIGN","03/25/2025","319"
"SB0142S06","App Store Accountability Act ","Weiler, T.","03/05/2025","05/07/2025","GSIGN","03/26/2025","446"
"SB0144S03","Sexual Crimes Amendments ","Kwan, K.","03/07/2025","05/07/2025","GSIGN","03/25/2025","320"
"SB0145","Technical Senate District Boundary Adjustment ","Sandall, S.","02/20/2025","03/24/2025","GSIGN","03/24/2025","132"
"SB0146","Glucagon Amendments ","Plumb, J.","03/04/2025","07/01/2025","GSIGN","03/26/2025","445"
"SB0147","Youth Service Organizations Amendments ","Grover, K.","02/24/2025","05/01/2025","GSIGN","03/25/2025","321"
"SB0149S03","Natural Resources Modifications ","Winterton, R.","03/07/2025","07/01/2025","GSIGN","03/24/2025","140"
"SB0150S01","Nonpublic Personal Information Amendments ","Cullimore, K. A.","02/26/2025","05/07/2025","GSIGN","03/27/2025","542"
"SB0151S01","Income Tax Contributions Amendments ","Ipson, D.","02/19/2025","05/07/2025","GSIGN","03/25/2025","322"
"SB0154S03","Legislative Audit Amendments ","Brammer, B.","03/07/2025","05/07/2025","GSIGN","03/25/2025","323"
"SB0157S01","Nonjudicial Adjustment Amendments ","Pitcher, S.","03/04/2025","05/07/2025","GSIGN","03/25/2025","324"
"SB0158","Sale or Lease of Federally Managed Public Land Amendments ","Stratton, K.","03/07/2025","05/07/2025","GSIGN","03/24/2025","148"
"SB0159S01","Environmental Quality Modifications ","Stratton, K.","02/26/2025","05/07/2025","GSIGN","03/24/2025","155"
"SB0161S01","Cultural and Community Engagement Amendments ","Sandall, S.","03/05/2025","05/07/2025","GSIGN","03/19/2025","044"
