Bill Number,Process Tag,Date,Day of Legislature,Bill Title,Description,Notecard,Topics,Read,Bill Sponsor,Office
HB 267,Floor Vote 1.3,,0,Public Sector Labor Union Amendments,"Bans collective bargaining for buplic sector unions, making it harder for techers, government employees and others to organize","No Bargaining, Just Begging",Labor Unions,Negative,Jordan Teuscher,State House
HB 267,Rules 2,,0,Public Sector Labor Union Amendments,"Bans collective bargaining for buplic sector unions, making it harder for techers, government employees and others to organize","No Bargaining, Just Begging",Labor Unions,Negative,Jordan Teuscher,State House
HB 267,Floor Vote 2.2,,0,Public Sector Labor Union Amendments,"Bans collective bargaining for buplic sector unions, making it harder for techers, government employees and others to organize","No Bargaining, Just Begging",Labor Unions,Negative,Jordan Teuscher,State House
HB 269,Floor Vote 1.1,2025-01-23,3,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 269,Committee 2,2025-01-28,8,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 269,Floor Vote 2.1,2025-01-30,10,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 269,Floor Vote 2.2,2025-02-05,16,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 269,,2025-02-06,17,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 269,Governor,2025-02-10,21,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 269,Bill Passed,2025-02-14,25,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 269,Rules 1,,0,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 269,Committee 1,,0,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 269,Floor Vote 1.2,,0,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 269,Floor Vote 1.3,,0,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 269,Rules 2,,0,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 269,Floor Vote 2.3,,0,Privacy Protections in Sex-Designated Areas,Prohibits universities from allowing transgender students to reside in housing that aligns with their gender identity,Separate but Unequal Dorms,"Transgender, Education, DEI",Negative,Stephanie Gricius,State House
HB 281,Floor Vote 1.1,2025-02-05,16,Health Curriculum and Procedures Amendments,"Requires written parental consent for telehealth and in-school mental health therapy. Would also require the school therapist to report back to parents what topics were discussed in each session. Also restricts sex education content to ensure it does not ""endorse or disparage"" religious beliefs","Wait, Call My Mom","Education, Children's Health, Mental Health",Negative,Stephanie Gricius,State House
HB 281,Rules 2,2025-02-11,22,Health Curriculum and Procedures Amendments,"Requires written parental consent for telehealth and in-school mental health therapy. Would also require the school therapist to report back to parents what topics were discussed in each session. Also restricts sex education content to ensure it does not ""endorse or disparage"" religious beliefs","Wait, Call My Mom","Education, Children's Health, Mental Health",Negative,Stephanie Gricius,State House
HB 281,Committee 2,2025-02-21,32,Health Curriculum and Procedures Amendments,"Requires written parental consent for telehealth and in-school mental health therapy. Would also require the school therapist to report back to parents what topics were discussed in each session. Also restricts sex education content to ensure it does not ""endorse or disparage"" religious beliefs","Wait, Call My Mom","Education, Children's Health, Mental Health",Negative,Stephanie Gricius,State House
HB 281,Rules 1,,0,Health Curriculum and Procedures Amendments,"Requires written parental consent for telehealth and in-school mental health therapy. Would also require the school therapist to report back to parents what topics were discussed in each session. Also restricts sex education content to ensure it does not ""endorse or disparage"" religious beliefs","Wait, Call My Mom","Education, Children's Health, Mental Health",Negative,Stephanie Gricius,State House
HB 281,Committee 1,,0,Health Curriculum and Procedures Amendments,"Requires written parental consent for telehealth and in-school mental health therapy. Would also require the school therapist to report back to parents what topics were discussed in each session. Also restricts sex education content to ensure it does not ""endorse or disparage"" religious beliefs","Wait, Call My Mom","Education, Children's Health, Mental Health",Negative,Stephanie Gricius,State House
HB 281,Floor Vote 1.2,,0,Health Curriculum and Procedures Amendments,"Requires written parental consent for telehealth and in-school mental health therapy. Would also require the school therapist to report back to parents what topics were discussed in each session. Also restricts sex education content to ensure it does not ""endorse or disparage"" religious beliefs","Wait, Call My Mom","Education, Children's Health, Mental Health",Negative,Stephanie Gricius,State House
HB 281,Floor Vote 1.3,,0,Health Curriculum and Procedures Amendments,"Requires written parental consent for telehealth and in-school mental health therapy. Would also require the school therapist to report back to parents what topics were discussed in each session. Also restricts sex education content to ensure it does not ""endorse or disparage"" religious beliefs","Wait, Call My Mom","Education, Children's Health, Mental Health",Negative,Stephanie Gricius,State House
HB 290,Floor Vote 1.1,2025-02-06,17,Bicycle Lane Safety Amendments,Makes it illegal to stop or park in a bike lane,"No Stopping, No Parking in Bike Lanes",Public Safety,Positive,Verona Mauga,State House
HB 290,Floor Vote 1.3,2025-02-11,22,Bicycle Lane Safety Amendments,Makes it illegal to stop or park in a bike lane,"No Stopping, No Parking in Bike Lanes",Public Safety,Positive,Verona Mauga,State House
HB 290,Rules 2,2025-02-13,24,Bicycle Lane Safety Amendments,Makes it illegal to stop or park in a bike lane,"No Stopping, No Parking in Bike Lanes",Public Safety,Positive,Verona Mauga,State House
HB 290,Committee 2,2025-02-18,29,Bicycle Lane Safety Amendments,Makes it illegal to stop or park in a bike lane,"No Stopping, No Parking in Bike Lanes",Public Safety,Positive,Verona Mauga,State House
HB 290,Floor Vote 2.2,2025-02-20,31,Bicycle Lane Safety Amendments,Makes it illegal to stop or park in a bike lane,"No Stopping, No Parking in Bike Lanes",Public Safety,Positive,Verona Mauga,State House
HB 290,Rules 1,,0,Bicycle Lane Safety Amendments,Makes it illegal to stop or park in a bike lane,"No Stopping, No Parking in Bike Lanes",Public Safety,Positive,Verona Mauga,State House
HB 290,Committee 1,,0,Bicycle Lane Safety Amendments,Makes it illegal to stop or park in a bike lane,"No Stopping, No Parking in Bike Lanes",Public Safety,Positive,Verona Mauga,State House
HB 290,Floor Vote 1.2,,0,Bicycle Lane Safety Amendments,Makes it illegal to stop or park in a bike lane,"No Stopping, No Parking in Bike Lanes",Public Safety,Positive,Verona Mauga,State House
HB 290,Floor Vote 2.1,,0,Bicycle Lane Safety Amendments,Makes it illegal to stop or park in a bike lane,"No Stopping, No Parking in Bike Lanes",Public Safety,Positive,Verona Mauga,State House
HB 300,Rules 1,2025-01-22,2,Amendments to Election Law,"Forces voters to return their ballots in person, instead of by mail, creating unnecessary barriers to voting. Also increases voter ID laws.",DMV Lines for Democracy,Election,Negative,Jerrerson Burton,State House
HB 300,Committee 1,2025-01-30,10,Amendments to Election Law,"Forces voters to return their ballots in person, instead of by mail, creating unnecessary barriers to voting. Also increases voter ID laws.",DMV Lines for Democracy,Election,Negative,Jerrerson Burton,State House
HB 300,Floor Vote 1.1,2025-02-05,16,Amendments to Election Law,"Forces voters to return their ballots in person, instead of by mail, creating unnecessary barriers to voting. Also increases voter ID laws.",DMV Lines for Democracy,Election,Negative,Jerrerson Burton,State House
HB 300,Floor Vote 1.3,2025-02-11,22,Amendments to Election Law,"Forces voters to return their ballots in person, instead of by mail, creating unnecessary barriers to voting. Also increases voter ID laws.",DMV Lines for Democracy,Election,Negative,Jerrerson Burton,State House
HB 300,Floor Vote 1.2,,0,Amendments to Election Law,"Forces voters to return their ballots in person, instead of by mail, creating unnecessary barriers to voting. Also increases voter ID laws.",DMV Lines for Democracy,Election,Negative,Jerrerson Burton,State House
HB 314,Rules 1,2025-01-23,3,Breast Cancer Prevention Modifications,Expand no cost breast cancer screening,No Cost Breast Cancer Screening,Public Health,Positive,Jennifer Dailey-Provost,State House
HB 314,Committee 1,2025-01-31,11,Breast Cancer Prevention Modifications,Expand no cost breast cancer screening,No Cost Breast Cancer Screening,Public Health,Positive,Jennifer Dailey-Provost,State House
HB 314,Graveyard,2025-02-03,14,Breast Cancer Prevention Modifications,Expand no cost breast cancer screening,No Cost Breast Cancer Screening,Public Health,Positive,Jennifer Dailey-Provost,State House
HB 332,Rules 2,2025-02-14,25,Voter Registration Data Amendments,Has to do with the voter roll system utah uses to maintain voter rolls. Would replace current non-partisan system with a more partison one,The Big Lie Voter Purge,Election,Negative,Karianne Lisonbee,State House
HB 332,Floor Vote 2.1,2025-02-18,29,Voter Registration Data Amendments,Has to do with the voter roll system utah uses to maintain voter rolls. Would replace current non-partisan system with a more partison one,The Big Lie Voter Purge,Election,Negative,Karianne Lisonbee,State House
HB 332,Rules 1,,0,Voter Registration Data Amendments,Has to do with the voter roll system utah uses to maintain voter rolls. Would replace current non-partisan system with a more partison one,The Big Lie Voter Purge,Election,Negative,Karianne Lisonbee,State House
HB 332,Committee 1,,0,Voter Registration Data Amendments,Has to do with the voter roll system utah uses to maintain voter rolls. Would replace current non-partisan system with a more partison one,The Big Lie Voter Purge,Election,Negative,Karianne Lisonbee,State House
HB 332,Floor Vote 1.1,,0,Voter Registration Data Amendments,Has to do with the voter roll system utah uses to maintain voter rolls. Would replace current non-partisan system with a more partison one,The Big Lie Voter Purge,Election,Negative,Karianne Lisonbee,State House
HB 332,Floor Vote 1.2,,0,Voter Registration Data Amendments,Has to do with the voter roll system utah uses to maintain voter rolls. Would replace current non-partisan system with a more partison one,The Big Lie Voter Purge,Election,Negative,Karianne Lisonbee,State House
HB 332,Floor Vote 1.3,,0,Voter Registration Data Amendments,Has to do with the voter roll system utah uses to maintain voter rolls. Would replace current non-partisan system with a more partison one,The Big Lie Voter Purge,Election,Negative,Karianne Lisonbee,State House
HB 332,Committee 2,,0,Voter Registration Data Amendments,Has to do with the voter roll system utah uses to maintain voter rolls. Would replace current non-partisan system with a more partison one,The Big Lie Voter Purge,Election,Negative,Karianne Lisonbee,State House
HB 348,Rules 1,2025-02-07,18,Insect Terminology Amendments,Changes the guidelines and recommendations to use the scientific name for mormon crickets or to come up with a common name that doesn't use the word Mormon,Cricket Formerly Known as Mormon,Government,Nuetral,Doug Owens,State House
HB 348,Committee 1,2025-02-11,22,Insect Terminology Amendments,Changes the guidelines and recommendations to use the scientific name for mormon crickets or to come up with a common name that doesn't use the word Mormon,Cricket Formerly Known as Mormon,Government,Nuetral,Doug Owens,State House
HB 351,Graveyard,2025-02-11,22,Election Day Amendments,Would make election day a state holiday,Election Day is a Holiday!,Election,Positive,Ryan Wilcox,State House
HB 351,Floor Vote 1.1,2025-02-18,29,Election Day Amendments,Would make election day a state holiday,Election Day is a Holiday!,Election,Positive,Ryan Wilcox,State House
HB 351,Rules 1,,0,Election Day Amendments,Would make election day a state holiday,Election Day is a Holiday!,Election,Positive,Ryan Wilcox,State House
HB 351,Committee 1,,0,Election Day Amendments,Would make election day a state holiday,Election Day is a Holiday!,Election,Positive,Ryan Wilcox,State House
HB 355,Rules 1,2025-02-03,14,Critical Infrastructure Materials Amendments,"Overturns Salt Lake County's 2022 ordinance banning new mines in the Wasatch Mountains, making it easier for developers to dig up protected land (The Parleys Gravel Pit)",Pit Happens,Enviroment,Negative,Casey Snider,State House
HB 355,Committee 1,2025-02-10,21,Critical Infrastructure Materials Amendments,"Overturns Salt Lake County's 2022 ordinance banning new mines in the Wasatch Mountains, making it easier for developers to dig up protected land (The Parleys Gravel Pit)",Pit Happens,Enviroment,Negative,Casey Snider,State House
HB 355,Floor Vote 1.1,2025-02-14,25,Critical Infrastructure Materials Amendments,"Overturns Salt Lake County's 2022 ordinance banning new mines in the Wasatch Mountains, making it easier for developers to dig up protected land (The Parleys Gravel Pit)",Pit Happens,Enviroment,Negative,Casey Snider,State House
HB 355,Floor Vote 1.3,2025-02-21,32,Critical Infrastructure Materials Amendments,"Overturns Salt Lake County's 2022 ordinance banning new mines in the Wasatch Mountains, making it easier for developers to dig up protected land (The Parleys Gravel Pit)",Pit Happens,Enviroment,Negative,Casey Snider,State House
HB 355,Floor Vote 1.2,,0,Critical Infrastructure Materials Amendments,"Overturns Salt Lake County's 2022 ordinance banning new mines in the Wasatch Mountains, making it easier for developers to dig up protected land (The Parleys Gravel Pit)",Pit Happens,Enviroment,Negative,Casey Snider,State House
HB 362,Rules 1,2025-02-03,14,Homeless Rights Amendments,Establishes a homeless bill of rights,Homeless Bill of Rights,Houselessness,Positive,Grant Amjad Miller,State House
HB 362,Committee 1,2025-02-04,15,Homeless Rights Amendments,Establishes a homeless bill of rights,Homeless Bill of Rights,Houselessness,Positive,Grant Amjad Miller,State House
HB 369,Rules 1,2025-02-03,14,Elections Office,Transfers election oversight away from Lt. Governor's office and into a new state-run election soffice controlled by political appointees,"Diedre, You're Fired",Election,Negative,Ryan Wilcox,State House
HB 369,Committee 1,2025-02-07,18,Elections Office,Transfers election oversight away from Lt. Governor's office and into a new state-run election soffice controlled by political appointees,"Diedre, You're Fired",Election,Negative,Ryan Wilcox,State House
HB 377,Rules 1,2025-02-03,14,Sexual Offense Amendments,Establishes in statute that if someone doesn't say no or that they are silent during sexual assault that is not implied consent,Silence is NOT Consent,Personal Rights,Positive,Angela Romero,State House
HB 377,Committee 1,2025-02-06,17,Sexual Offense Amendments,Establishes in statute that if someone doesn't say no or that they are silent during sexual assault that is not implied consent,Silence is NOT Consent,Personal Rights,Positive,Angela Romero,State House
HB 386,Rules 1,2025-02-10,21,Public Waters Access Act Amendments,"Redefines ""navigable waters"", restricting public access to rivers and streams that run through private property. Unless Utahns can prove 10+ years of continuous use, the landowner can block access with fences, signs, or legal threats.","Get Off My Lawn, But Make It a River",Environment,Negative,Scott H. Chew,State House
HB 400,Rules 1,2025-02-07,18,Blood Transfusion Amendments,"Allows patients to supply their own blood for medical procedures instead of using hospital-supplied blood, citing vaccine concerns.",BYOB - Bring Your Own Blood,Public Health,Nuetral,Kristen Chevrier,State House
HB 400,Floor Vote 1.1,2025-02-10,21,Blood Transfusion Amendments,"Allows patients to supply their own blood for medical procedures instead of using hospital-supplied blood, citing vaccine concerns.",BYOB - Bring Your Own Blood,Public Health,Nuetral,Kristen Chevrier,State House
HB 400,Rules 2,2025-02-19,30,Blood Transfusion Amendments,"Allows patients to supply their own blood for medical procedures instead of using hospital-supplied blood, citing vaccine concerns.",BYOB - Bring Your Own Blood,Public Health,Nuetral,Kristen Chevrier,State House
HB 400,Committee 1,,0,Blood Transfusion Amendments,"Allows patients to supply their own blood for medical procedures instead of using hospital-supplied blood, citing vaccine concerns.",BYOB - Bring Your Own Blood,Public Health,Nuetral,Kristen Chevrier,State House
HB 400,Floor Vote 1.2,,0,Blood Transfusion Amendments,"Allows patients to supply their own blood for medical procedures instead of using hospital-supplied blood, citing vaccine concerns.",BYOB - Bring Your Own Blood,Public Health,Nuetral,Kristen Chevrier,State House
HB 400,Floor Vote 1.3,,0,Blood Transfusion Amendments,"Allows patients to supply their own blood for medical procedures instead of using hospital-supplied blood, citing vaccine concerns.",BYOB - Bring Your Own Blood,Public Health,Nuetral,Kristen Chevrier,State House
HB 401,Rules 1,2025-02-05,16,Adult-Oriented Performance Amendments,"Criminalizes live performances deemed ""adult-oriented"" based on vague, subjective criteria. Could apply to schoool plays, dance performances, or even cheerleading routines",Morality Police,Personal Rights,Negative,Colin Jack,State House
HB 401,Committee 1,2025-02-14,25,Adult-Oriented Performance Amendments,"Criminalizes live performances deemed ""adult-oriented"" based on vague, subjective criteria. Could apply to schoool plays, dance performances, or even cheerleading routines",Morality Police,Personal Rights,Negative,Colin Jack,State House
HB 403,Floor Vote 1.1,2025-02-21,32,SNAP Funds Amendments,Prohibits using SNAP benefits to purchase soda and candy products,SNAP Shaming,"Personal Rights, Public Health",Negative,Kristen Chevrier,State House
HB 403,Rules 1,,0,SNAP Funds Amendments,Prohibits using SNAP benefits to purchase soda and candy products,SNAP Shaming,"Personal Rights, Public Health",Negative,Kristen Chevrier,State House
HB 403,Committee 1,,0,SNAP Funds Amendments,Prohibits using SNAP benefits to purchase soda and candy products,SNAP Shaming,"Personal Rights, Public Health",Negative,Kristen Chevrier,State House
HB 412,Rules 1,2025-02-06,17,Boards and Commissions Revisions,"Allows state boards and commissions permission to be dominated by one party, removing existing rules that require some partisan balance",Governor's Friends and Family Boards,Government,Negative,Jefferson Burton,State House
HB 412,Committee 1,2025-02-10,21,Boards and Commissions Revisions,"Allows state boards and commissions permission to be dominated by one party, removing existing rules that require some partisan balance",Governor's Friends and Family Boards,Government,Negative,Jefferson Burton,State House
HB 412,Floor Vote 1.1,2025-02-20,31,Boards and Commissions Revisions,"Allows state boards and commissions permission to be dominated by one party, removing existing rules that require some partisan balance",Governor's Friends and Family Boards,Government,Negative,Jefferson Burton,State House
HB 412,Floor Vote 1.3,2025-02-21,32,Boards and Commissions Revisions,"Allows state boards and commissions permission to be dominated by one party, removing existing rules that require some partisan balance",Governor's Friends and Family Boards,Government,Negative,Jefferson Burton,State House
HB 412,Floor Vote 1.2,,0,Boards and Commissions Revisions,"Allows state boards and commissions permission to be dominated by one party, removing existing rules that require some partisan balance",Governor's Friends and Family Boards,Government,Negative,Jefferson Burton,State House
HB 424,Rules 1,2025-02-11,22,School Activity Eligibility Commission Amendments,Expands the power of the School Activity Eligibility Commission which determiknes if transgender students can play on gendered sports teams. Bans schools from wroking with athletic associations that don't comply,School Sports Gender Police,"Transgender, Education, DEI",Negative,Nelson T. Abbott,State House
HB 424,Committee 1,2025-02-12,23,School Activity Eligibility Commission Amendments,Expands the power of the School Activity Eligibility Commission which determiknes if transgender students can play on gendered sports teams. Bans schools from wroking with athletic associations that don't comply,School Sports Gender Police,"Transgender, Education, DEI",Negative,Nelson T. Abbott,State House
HB 424,Floor Vote 1.1,2025-02-14,25,School Activity Eligibility Commission Amendments,Expands the power of the School Activity Eligibility Commission which determiknes if transgender students can play on gendered sports teams. Bans schools from wroking with athletic associations that don't comply,School Sports Gender Police,"Transgender, Education, DEI",Negative,Nelson T. Abbott,State House
HB 424,Floor Vote 1.3,2025-02-21,32,School Activity Eligibility Commission Amendments,Expands the power of the School Activity Eligibility Commission which determiknes if transgender students can play on gendered sports teams. Bans schools from wroking with athletic associations that don't comply,School Sports Gender Police,"Transgender, Education, DEI",Negative,Nelson T. Abbott,State House
HB 424,Floor Vote 1.2,,0,School Activity Eligibility Commission Amendments,Expands the power of the School Activity Eligibility Commission which determiknes if transgender students can play on gendered sports teams. Bans schools from wroking with athletic associations that don't comply,School Sports Gender Police,"Transgender, Education, DEI",Negative,Nelson T. Abbott,State House
HB 445,Rules 1,2025-02-07,18,Revisions to Election Law,"Requires voters to register 29 days before an election, eliminates same-day voter registrartion, makes it harder to cast provisional ballots, and limits ballot curing (fixing ballot mistakes) to one week. Also requires all voting systems to be uniform statewide, per the Lt. Governor's Office","Oh Look, More Voter Suppression!",Election,Negative,Doug Fiefia,State House
HB 445,Committee 1,2025-02-18,29,Revisions to Election Law,"Requires voters to register 29 days before an election, eliminates same-day voter registrartion, makes it harder to cast provisional ballots, and limits ballot curing (fixing ballot mistakes) to one week. Also requires all voting systems to be uniform statewide, per the Lt. Governor's Office","Oh Look, More Voter Suppression!",Election,Negative,Doug Fiefia,State House
HB 445,Floor Vote 1.1,2025-02-20,31,Revisions to Election Law,"Requires voters to register 29 days before an election, eliminates same-day voter registrartion, makes it harder to cast provisional ballots, and limits ballot curing (fixing ballot mistakes) to one week. Also requires all voting systems to be uniform statewide, per the Lt. Governor's Office","Oh Look, More Voter Suppression!",Election,Negative,Doug Fiefia,State House
HB 451,Rules 1,2025-02-07,18,Judicial Election Amendments,"Raises the retention threshold for judges from 50% to 67%, making it easier to remove judges who rule against the Legislature","The Raise the Bar, Lower the Bench",Judicial,Negative,Jason Kyle,State House
HB 457,Rules 1,2025-02-12,23,Signature Verification Amendments,"If a candidate chooses to gather signatures instead of going throught the convention process this will require that if somone signs a petition packet that their name, voter id, their precinct and the date they sign have to be posted publically on the lt governors website for 90 days. Also requires that an email is sent to the signers with instructions on how to remove their name",Signature Surveillance,Election,Negative,Lisa Shepherd,State House
HB 458,Rules 1,2025-02-13,24,Candidate Petition Amendments,Makes it harder for candidates to get signatures on the ballot,Signatures? We Prefer Hurdles,Election,Negative,Lisa Shepherd,State House
HB 458,Committee 1,2025-02-19,30,Candidate Petition Amendments,Makes it harder for candidates to get signatures on the ballot,Signatures? We Prefer Hurdles,Election,Negative,Lisa Shepherd,State House
HB 461,Rules 1,2025-02-11,22,Animal Crime Victim Amendments,Protect dogs and cats that were taken and seized for abuse from being returned to the abuser,Puppy Protection and Placement,Animals,Positive,Verona Mauga,State House
HB 461,Committee 1,2025-02-18,29,Animal Crime Victim Amendments,Protect dogs and cats that were taken and seized for abuse from being returned to the abuser,Puppy Protection and Placement,Animals,Positive,Verona Mauga,State House
HB 461,Graveyard,2025-02-20,31,Animal Crime Victim Amendments,Protect dogs and cats that were taken and seized for abuse from being returned to the abuser,Puppy Protection and Placement,Animals,Positive,Verona Mauga,State House
HB 465,Committee 1,2025-02-12,23,Law Enforcement Agency Amendments,Would requre SLC to cooporate and partner with salt lake law enforcement to enforce anti-homelessness laws and if they don't they will take away funding for homeless services and roads,SLC - Do What We Say or Else,Houselessness,Negative,Casey Snider,State House
HB 465,Floor Vote 1.1,2025-02-14,25,Law Enforcement Agency Amendments,Would requre SLC to cooporate and partner with salt lake law enforcement to enforce anti-homelessness laws and if they don't they will take away funding for homeless services and roads,SLC - Do What We Say or Else,Houselessness,Negative,Casey Snider,State House
HB 465,Rules 2,2025-02-21,32,Law Enforcement Agency Amendments,Would requre SLC to cooporate and partner with salt lake law enforcement to enforce anti-homelessness laws and if they don't they will take away funding for homeless services and roads,SLC - Do What We Say or Else,Houselessness,Negative,Casey Snider,State House
HB 465,Rules 1,,0,Law Enforcement Agency Amendments,Would requre SLC to cooporate and partner with salt lake law enforcement to enforce anti-homelessness laws and if they don't they will take away funding for homeless services and roads,SLC - Do What We Say or Else,Houselessness,Negative,Casey Snider,State House
HB 465,Floor Vote 1.2,,0,Law Enforcement Agency Amendments,Would requre SLC to cooporate and partner with salt lake law enforcement to enforce anti-homelessness laws and if they don't they will take away funding for homeless services and roads,SLC - Do What We Say or Else,Houselessness,Negative,Casey Snider,State House
HB 465,Floor Vote 1.3,,0,Law Enforcement Agency Amendments,Would requre SLC to cooporate and partner with salt lake law enforcement to enforce anti-homelessness laws and if they don't they will take away funding for homeless services and roads,SLC - Do What We Say or Else,Houselessness,Negative,Casey Snider,State House
HB 473,Rules 1,2025-02-13,24,School Digital Materials Amendments,"Takes last year's sensitive materials book banning bill and applies it to digital libraries also imposes a $10,000 fine every day the book is not pulled from the digital shelves",Digital Book Burning,"Education, Libraries",Negative,Nicholeen Peck,State House
HB 481,Floor Vote 1.1,2025-02-20,31,Ballot Proposition Requirements,Changes the public notice requirements from two months to 60 days also makes it so the public notice is online newspapers instead of physical news papers,We Broke it So We Changed it (2),Election,Negative,Anthony E Loubet,State House
HB 481,Floor Vote 1.3,2025-02-21,32,Ballot Proposition Requirements,Changes the public notice requirements from two months to 60 days also makes it so the public notice is online newspapers instead of physical news papers,We Broke it So We Changed it (2),Election,Negative,Anthony E Loubet,State House
HB 481,Rules 1,,0,Ballot Proposition Requirements,Changes the public notice requirements from two months to 60 days also makes it so the public notice is online newspapers instead of physical news papers,We Broke it So We Changed it (2),Election,Negative,Anthony E Loubet,State House
HB 481,Committee 1,,0,Ballot Proposition Requirements,Changes the public notice requirements from two months to 60 days also makes it so the public notice is online newspapers instead of physical news papers,We Broke it So We Changed it (2),Election,Negative,Anthony E Loubet,State House
HB 481,Floor Vote 1.2,,0,Ballot Proposition Requirements,Changes the public notice requirements from two months to 60 days also makes it so the public notice is online newspapers instead of physical news papers,We Broke it So We Changed it (2),Election,Negative,Anthony E Loubet,State House
HB 488,Rules 1,2025-02-12,23,Federalism Amendments,"Expands the federalism commission, creates state led and funded federalism education and initatives, allocates almost $1million dollars to go towards federalism education efforts",Federalism Fan Club,Education,Negative,Ken Ivory,State House
HB 488,Committee 1,2025-02-14,25,Federalism Amendments,"Expands the federalism commission, creates state led and funded federalism education and initatives, allocates almost $1million dollars to go towards federalism education efforts",Federalism Fan Club,Education,Negative,Ken Ivory,State House
HB 488,Floor Vote 1.1,2025-02-19,30,Federalism Amendments,"Expands the federalism commission, creates state led and funded federalism education and initatives, allocates almost $1million dollars to go towards federalism education efforts",Federalism Fan Club,Education,Negative,Ken Ivory,State House
HB 488,Rules 2,2025-02-21,32,Federalism Amendments,"Expands the federalism commission, creates state led and funded federalism education and initatives, allocates almost $1million dollars to go towards federalism education efforts",Federalism Fan Club,Education,Negative,Ken Ivory,State House
HB 488,Floor Vote 1.2,,0,Federalism Amendments,"Expands the federalism commission, creates state led and funded federalism education and initatives, allocates almost $1million dollars to go towards federalism education efforts",Federalism Fan Club,Education,Negative,Ken Ivory,State House
HB 488,Floor Vote 1.3,,0,Federalism Amendments,"Expands the federalism commission, creates state led and funded federalism education and initatives, allocates almost $1million dollars to go towards federalism education efforts",Federalism Fan Club,Education,Negative,Ken Ivory,State House
HB 491,Floor Vote 1.3,2025-02-21,32,Behavioral Health Modifications,"Expands mental and behavioral health access. It especially focuses on rural mental health care, suicide prevention and publically available list where people can surrender firearms",More Mental Health Care,"Mental Health, Public Health, Firearms",Positive,Steve Eliason,State House
HB 491,Rules 1,,0,Behavioral Health Modifications,"Expands mental and behavioral health access. It especially focuses on rural mental health care, suicide prevention and publically available list where people can surrender firearms",More Mental Health Care,"Mental Health, Public Health, Firearms",Positive,Steve Eliason,State House
HB 491,Committee 1,,0,Behavioral Health Modifications,"Expands mental and behavioral health access. It especially focuses on rural mental health care, suicide prevention and publically available list where people can surrender firearms",More Mental Health Care,"Mental Health, Public Health, Firearms",Positive,Steve Eliason,State House
HB 491,Floor Vote 1.1,,0,Behavioral Health Modifications,"Expands mental and behavioral health access. It especially focuses on rural mental health care, suicide prevention and publically available list where people can surrender firearms",More Mental Health Care,"Mental Health, Public Health, Firearms",Positive,Steve Eliason,State House
HB 491,Floor Vote 1.2,,0,Behavioral Health Modifications,"Expands mental and behavioral health access. It especially focuses on rural mental health care, suicide prevention and publically available list where people can surrender firearms",More Mental Health Care,"Mental Health, Public Health, Firearms",Positive,Steve Eliason,State House
HB 498,Rules 1,2025-02-18,29,Statewide Referenda Modifications,Extends the time line that people have to collect signatures for referandums to 60 days instead of the current 40 days,More Time To Collect Signatures,Election,Positive,Andrew Stoddard,State House
